ФИО;Группа;Период;Должность;Площадка;КЦ_Другое_отсутсвие;Запланированное время;Ready;Больничный;Adherence
Селиверстов Мелентий Иваныч;Группа 8;9/1/22;Младший специалист;Брянск;61;155;35;59;0,83
Шарапов Трифон Бедросович;Группа 22;9/1/22;Специалист;Пенза;0;151;108;43;0,80
Терентьев Харитон Исаакович;Группа 29;9/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;38;34,2;0;0,54
Афанасьев Назар Платонович;Группа 34;9/1/22;Младший специалист;Чита;0;184;73;0;0,59
Шаров Глеб Феликсович;Группа 11;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;169;11;0;0,52
Лазарев Виссарион Александрович;Группа 31;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;123;110,7;0;0,57
Корнилов Влас Валентинович;Группа 24;9/1/22;Специалист;Кемерово;0;143;60;0;0,89
Князев Иуда Игоревич;Группа 1;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;80;72;0;0,60
Кириллов Мамонт Геннадиевич;Группа 4;9/1/22;Специалист;Вологда;67;106;39;0;0,86
Власов Вадим Артемович;Группа 26;9/1/22;Специалист;Кемерово;0;128;127;0;0,74
Борисов Антонин Егорович;Группа 37;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;147;55;0;0,90
Семёнов Геннадий Егорович;Группа 27;9/1/22;Специалист;Кемерово;45;147;102;0;0,64
Крылов Пахомий Леонидович;Группа 30;9/1/22;Младший специалист;Чита;0;85;54;31;0,86
Бирюков Альвиан Дмитриевич;Группа 2;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;177;36;43;0,81
Цветков Роман Степанович;Группа 37;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;149;80;50;0,90
Гурьев Варфоломей Владиславович;Группа 18;9/1/22;Младший специалист;Пенза;0;149;148;0;0,77
Сергеев Софрон Владимирович;Группа 8;9/1/22;Младший специалист;Брянск;66;117;51;0;0,72
Селиверстов Ерофей Денисович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;83;74,7;0;0,90
Миронов Аристарх Геннадиевич;Группа 15;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;57;51,3;0;0,91
Кононов Викентий Витальевич;Группа 27;9/1/22;Младший специалист;Кемерово;0;98;88,2;0;0,78
Нестеров Лев Анатольевич;Группа 3;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;142;139;0;0,67
Петров Галактион Тимофеевич;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;118;110;0;0,67
Герасимов Геннадий Романович;Группа 15;9/1/22;Младший специалист;Ростов;0;83;75;0;0,50
Якушев Олег Ярославович;Группа 2;9/1/22;Младший специалист;Вологда;0;39;35,1;0;0,87
Никитин Роман Анатольевич;Группа 22;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;41;36,9;0;0,55
Шестаков Александр Евгеньевич;Группа 26;9/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;53;66;13;0;0,60
Устинов Никита Эдуардович;Группа 6;9/1/22;Младший специалист;Брянск;0;102;91,8;0;0,69
Тетерин Викентий Матвеевич;Группа 9;9/1/22;Специалист;Брянск;50;117;67;0;0,91
Семёнов Глеб Владиславович;Группа 24;9/1/22;Младший специалист;Кемерово;36;103;67;0;0,60
Константинов Ростислав Исаакович;Группа 29;9/1/22;Младший специалист;Кемерово;0;49;44,1;0;0,78
Крылов Фока Геннадиевич;Группа 18;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;63;39;0;0,91
Силин Онуфрий Львович;Группа 25;9/1/22;Младший специалист;Кемерово;62;90;28;0;0,50
Бирюков Никанор Семенович;Группа 1;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;60;40;0;0,96
Самойлов Кирилл Феликсович;Группа 2;9/1/22;Специалист;Вологда;0;121;93;0;0,83
Мишин Созон Олегович;Группа 15;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;150;75;63;0,68
Копылов Митрофан Яковлевич;Группа 12;9/1/22;Специалист;Ростов;0;40;22;0;0,88
Никитин Валентин Иваныч;Группа 7;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;91;81,9;0;0,75
Ефимов Станислав Константинович;Группа 21;9/1/22;Специалист;Пенза;0;73;22;51;0,79
Шарапов Зиновий Феликсович;Группа 32;9/1/22;Специалист;Чита;0;167;46;0;0,55
Кулагин Прохор Богданович;Группа 29;9/1/22;Специалист;Кемерово;0;60;54;0;0,73
